Id,sample_soln
2658,118674.30074911399
2718,167995.6888049567
2414,222343.32397510015
1989,109211.22484073827
625,171991.771602226
333,84567.36940637692
1327,109549.0485298672
858,150916.87113225012
95,170009.16727871736
1568,162969.59420846027
2482,148870.3426032097
1364,119586.86150533492
2584,139177.64144624694
818,261392.32411376294
2673,164664.38564117393
2089,114936.09597852084
1297,147049.61378090087
790,116617.89973023089
2616,219952.88099854358
720,201375.59482508973
222,151084.24384829577
557,134380.17963212513
1148,181223.0417063875
2766,193838.26731092046
534,178254.35162768656
1452,112865.17301265846
630,124578.25569589835
2648,121541.82976659083
125,155823.80240345906
1904,56392.644074486016
1670,98558.10981756992
756,93894.3050330182
717,201330.42373170584
1032,160202.35394277648
852,207717.3019063136
1731,180361.49594944503
2639,124402.17784740971
2071,82306.91419731516
1267,105095.36452511723
1851,194753.55481422282
567,169684.06774472698
2439,205445.40968559327
1898,153879.90076029015
647,170335.03588968716
2256,215983.54469868925
979,97258.49441217534
1444,217213.99580939364
2485,120111.72086086715
157,124716.18146941726
88,122335.85658871115
2003,110472.47706003243
186,177556.92280869372
1425,229220.87696706905
2695,123934.4481222452
738,114392.93064637593
395,146378.00878896823
1353,155062.26968773163
1878,146446.53575869536
390,153898.34702583423
1456,231196.85500736954
1103,318105.528910335
1387,136825.81583646216
2070,148342.04150113906
1199,160375.47760147057
2479,179961.44255106954
501,303985.71548571193
2362,91834.26772805052
1718,225502.14291432317
2188,90729.9288854036
1483,155581.67805306014
2557,90400.36284552944
437,354965.33463671914
2224,225322.71711235217
1628,163714.69202313537
397,130582.4761296192
587,203919.78527942867
971,163464.91259361393
2611,145366.8922462773
1887,98755.24996337514
2399,357523.58803796745
2148,193012.03901037094
304,129501.1082769458
1997,138940.20219349943
2817,111116.79099758799
1431,217256.39916852798
427,324165.405605667
263,120893.29645558713
598,177466.43796039003
2895,239521.34588899382
687,128827.02665489292
1822,131696.49645905112
2191,100276.11825696497
179,111536.23829940337
1009,235892.12113833247
2010,124274.05316429681
1991,142038.9701162522
1411,176388.66795932993
1721,224440.10454131273
1144,194713.2101103921
593,208038.29207076726
575,341789.5225707025
1249,175573.50225269044
1604,119115.30343915898
1064,443508.3351755887
1923,155048.2270909457
1988,115230.43700456872
2325,168900.28069117657
114,214736.57458108233
2700,184254.1163580005
217,123042.60015322732
343,182325.2334246913
386,216387.34658242218
