Id,sample_soln
2658,148059.56822167482
2718,196752.08442265313
2414,206303.52341054837
1989,130571.92756828415
625,189836.53933315526
333,86161.47567334324
1327,129993.47595151229
858,144082.98235230922
95,172448.09652464426
1568,174123.97037080387
2482,166733.6718557024
1364,122561.56390922001
2584,158050.5193450206
818,280973.93035500386
2673,193749.71605972914
2089,122238.15905385709
1297,171217.95949351488
790,117245.78048088601
2616,231778.57923875927
720,167797.66646814623
222,148001.74039980484
557,121702.81738163858
1148,218754.86611057242
2766,192303.95384307738
534,172283.04719636583
1452,101815.97004567477
630,154166.7826013707
2648,140705.8503305556
125,135722.05679708096
1904,45751.86349664643
1670,124565.19323212824
756,85356.21961362037
717,249391.59525453023
1032,181604.98802968676
852,214987.61986944865
1731,179258.7567414535
2639,150053.87670669617
2071,63242.035545556704
1267,95724.13477811628
1851,185207.58073579837
567,153512.64246211477
2439,212922.09719304444
1898,174281.633997692
647,196005.92529805898
2256,229133.75368391446
979,113341.63347144422
1444,224700.10304033302
2485,120986.88672802805
157,131176.32009118923
88,120586.46899301017
2003,116014.30371042786
186,172244.76149290407
1425,236807.28871917006
2695,143837.84494123136
738,92931.59146407887
395,149972.85645471647
1353,137023.21216311146
1878,181581.12712404507
390,163525.6492376852
1456,241704.59910550833
1103,335473.07901371154
1387,133778.66931855323
2070,184757.65051058854
1199,163153.78916989395
2479,180149.86024211108
501,307130.0030076227
2362,100825.81026637713
1718,226756.63626403833
2188,92446.50158597862
1483,165054.59843957252
2557,90633.29798914658
437,307867.80687498243
2224,244186.31108892892
1628,163079.66968959547
397,131324.19374713307
587,227102.62781860438
971,177331.45884948748
2611,147906.05743309908
1887,54227.25779436622
2399,331257.30760861264
2148,203468.30282474516
304,118467.05941601912
1997,142065.43838884225
2817,147532.66955064517
1431,199416.9350846716
427,310618.58755269495
263,112634.87179359724
598,190447.6198987343
2895,240419.0635650984
687,134474.2393924856
1822,136571.1530621999
2191,130986.07132738284
179,112991.00292217774
1009,186056.9885312094
2010,124607.19186401677
1991,124565.26439453558
1411,193241.5915168099
1721,221447.1315286188
1144,205876.37314861963
593,201173.1132113347
575,286888.0176996636
1249,187061.75159881116
1604,122722.89389609586
1064,422579.64140517695
1923,154317.7525395867
1988,93540.53393416369
2325,183152.98375133116
114,230938.81847279484
2700,206860.3397684668
217,185501.95821331724
343,200870.67628148623
386,211901.8010414755
2005,144199.77312343346
2908,156321.31810638763
1814,239464.26433575907
2446,473936.56258384883
208,155654.35188611728
1679,119470.15881839576
822,286534.75429927226
6,205407.34583849483
1781,364612.65050993045
2397,279234.2727780294
2340,275571.4529991282
1618,178740.18720113134
2843,125425.0911382295
1061,336433.31956913206
2786,114226.03687624943
1935,149124.2046792385
1341,123647.51907075435
521,247995.050317873
2136,140835.81185373882
996,219825.82137458047
227,152316.93324452668
135,179285.19996985391
1167,173264.7385061734
294,232107.3080508744
1776,191861.88631293733
540,164211.82993198247
1717,226109.52544489104
2303,126487.30837340248
116,188430.7247559965
127,143047.99339892197
1371,133615.52766977187
1014,196333.7076731751
1507,66302.2478510048
702,174006.81158951687
750,149911.3630442855
261,139236.52706592562
1559,53888.423008652084
577,232427.37950716005
2812,203594.67056268742
2080,148934.44854462123
1368,99205.44886109256
2376,133495.83719415675
659,101643.51315568526
1235,128754.89267405149
332,68171.66217041638
1917,144265.49855775823
2094,258408.5238828711
1460,276210.5784236236
1471,230207.42489550522
1509,128563.81385723321
1922,147946.33673399247
433,418289.2468881859
460,225763.0114819929
1116,245982.52936925745
1137,187856.8472676407
53,159092.92337111378
2354,275100.31831611856
1475,189489.97743212018
1761,502661.6819447294
842,148215.64808977107
2739,211680.6772543931
2509,140196.43089840957
1007,202208.05648906925
2610,192146.55716866968
1952,50019.9954398658
2719,203103.01095281923
2921,87957.69881985268
1966,134709.9598418099
292,129595.95687571685
1204,199275.74884238638
1829,267735.89972611336
2419,188166.11201718208
391,165271.40117699152
798,110092.17044458089
481,198708.17173060527
193,199078.5256698388
555,116407.05238672333
899,71836.74849589482
2357,180900.73436036587
328,131545.9616246267
1356,112769.7572802479
1154,88729.53731873792
1730,189836.07242152805
2249,153711.8460128903
1119,265986.5855258194
2856,148549.7318986336
1394,155680.16951123715
2587,105965.00924999056
61,281267.9920162087
2661,181736.51972307815
2711,118150.48607324391
1147,199371.63112499894
757,121868.04077303039
2623,70544.86304895802
2378,142832.30961790102
1413,146731.51383804748
1722,209634.72472035963
1112,232000.08097777455
1623,220113.1523068552
1201,198399.9961554678
1513,126345.05681859705
957,467317.8974426894
1171,234351.67480116943
1145,194528.9811393901
2726,267833.75197097904
703,137502.85178523968
760,111052.06326379866
1964,141554.3119674859
2512,170054.04511573014
159,189220.208209186
1281,184014.28764686637
468,193064.53079051457
290,97455.78360919525
665,82842.54116009474
1463,253369.78559115424
1792,226451.63919561586
923,163861.26260329524
500,297693.3608202735
1408,214206.02210991556
331,70661.41495028354
170,163814.49824754754
2192,103663.48982045046
2571,322742.14850954694
2314,198951.15146939238
2647,74635.04350228391
422,385815.0727395944
2457,352077.8251351515
1838,189812.92925381416
2805,248317.2313152277
1645,170165.83534566092
1711,280485.1022203908
2825,259058.833702816
322,280593.87349837465
2103,250265.1461961745
342,124006.75916604626
600,130576.08315658898
488,203681.65626092846
1725,273871.30820397695
2246,271445.23007896927
2847,184242.32269761126
806,233509.1987062842
530,231793.19802684768
963,214668.46165863963
2678,97685.74878955248
171,97675.41027488362
2401,375346.6143210512
805,234718.36797867704
2259,248112.40037112648
1748,179130.04785510377
1361,121238.50125905851
1677,123775.75659444413
1406,154151.13679796996
2322,268536.24074665294
688,161979.76727591624
143,142942.4313532811
804,211297.68381528874
1214,167702.20806201297
2828,157127.2067948149
1999,231864.17341289058
2467,186555.76159767617
2665,136447.94618629967
1538,338300.7027573802
398,128432.09037285115
2822,171334.4916533634
2157,161144.72786972334
1856,207821.12421151053
1269,69204.32960552209
2570,127847.73500503691
2320,230898.44369401515
1517,114940.43345681226
2304,118009.50523030153
1312,100906.9869819434
2012,116613.27219498796
506,237249.57332042497
2865,195699.8282239158
2367,112103.90523324968
554,83171.19209300423
238,135178.46460794494
1954,92125.12464216806
2488,139230.07200355473
2291,87469.19152366715
1969,68728.47254908633
2725,202034.14479670345
1482,165064.069754919
2763,205981.67956835296
503,269604.4785178293
1584,230667.26974260568
1531,133190.0450959699
2210,182092.0794416762
459,281307.99720536766
556,142082.32341828587
1347,150628.86140989844
1290,59887.2647229687
1388,94985.45810236908
1571,378823.38280404505
2754,202314.3861008758
765,170535.42257442634
2494,116284.60612046994
2870,258348.42548269243
7,196970.7138474265
1114,253540.69737400726
2418,272530.8846644808
291,141402.4397266604
18,326989.57352597587
39,303460.07545855554
1001,243327.16206230325
2442,237910.57825818675
616,116476.30956089117
2680,45001.468981199694
1414,101327.71779318214
289,134149.86664232018
40,235409.4875610264
860,142483.29377412217
409,141372.2273479099
673,179408.444525185
2427,167346.09994196836
2036,208966.90235543024
2564,156527.83374685264
642,206528.22325196172
1008,206827.68629111006
1908,192188.61027829978
2519,205214.5709922546
1369,107638.12079341496
2855,132730.61231155315
712,64745.68611175427
1943,137738.41332595353
1958,132847.5146950277
107,131678.4093956357
2295,244589.4673478321
704,104553.33107259813
676,107320.82280163883
259,194210.41272797008
93,268188.8863939764
106,221874.26155507937
2315,200209.83814747565
1050,107898.54918700647
1095,205110.1525018983
2709,165583.07439916694
758,125729.61528731635
1496,158492.24985845806
2370,120458.39036520448
2458,275051.73197064863
2733,145724.30423669633
161,264867.84832683054
726,154628.91414682794
845,201070.08213611873
947,243475.1706489294
2232,140932.25257525308
2563,150669.01010900122
2299,208508.28582071947
211,79941.94493966381
605,196424.55242279742
1478,174942.7559797369
2247,271051.4111890885
2274,248981.62541095127
2869,235414.85050335788
967,214861.41635025648
2656,140631.6395527352
667,238007.2758984713
1042,119330.869216572
2023,161641.06757075374
2447,355574.8503930279
2055,111290.43745471138
2275,254157.0490725796
2204,132734.93054378676
1563,245336.9861248401
483,220368.35602506777
796,138693.51447025576
1526,137997.68780923355
2042,144178.09903073718
442,294021.8576587807
1693,296472.2437367793
1468,213997.64531334743
1430,190374.89483276088
2605,219735.48884493316
1529,150463.13157651492
335,157348.04320996875
1287,140320.635591859
31,106889.69366596307
1785,292990.1662162038
82,167678.55363214578
2620,152111.99181503835
252,184765.1918590241
721,54870.290588007396
2165,183857.15074449353
2316,204485.50452520166
775,139421.03180944803
1558,147621.0149265902
17,203252.59614082347
